pp,ap,mp,kp
A,send,ID_A, 
A,send,ID_B, 
S,receive,ID_A, 
S,receive,ID_B, 
S,new,N_S, 
S,send,ID_A, 
S,send,ID_B, 
S,send,N_S, 
A,receive,ID_A, 
A,receive,ID_B, 
A,receive,N_S, 
A,new,N_A, 
A,new,N_A^', 
A,encrypt,N_S,K_AS
A,send,ID_A,Pub_S
A,send,ID_B,Pub_S
A,send,N_A,Pub_S
A,send,N_A^',Pub_S
A,send,N_S,K_AS Pub_S
A,send,N_S, 
B,receive,ID_A,Pub_S
B,receive,ID_B,Pub_S
B,receive,N_A,Pub_S
B,receive,N_A^',Pub_S
B,receive,N_S,K_AS Pub_S
B,receive,N_S, 
B,encrypt,ID_A,Pub_S
B,encrypt,ID_B,Pub_S
B,encrypt,N_A,Pub_S
B,encrypt,N_A^',Pub_S
B,encrypt,N_S,K_AS
B,encrypt,N_S,Pub_S
B,encrypt,ID_B,Pub_S
B,encrypt,ID_A,Pub_S
B,new,N_B, 
B,encrypt,N_B,Pub_S
B,new,N_B^', 
B,encrypt,N_B^',Pub_S
B,encrypt,N_S,K_BS
B,encrypt,N_S,Pub_S
B,send,ID_A,Pub_S
B,send,ID_B,Pub_S
B,send,N_A,Pub_S
B,send,N_A^',Pub_S
B,send,N_S,K_AS Pub_S
B,send,ID_B,Pub_S
B,send,ID_A,Pub_S
B,send,N_B,Pub_S
B,send,N_B^',Pub_S
B,send,N_S,K_BS Pub_S
S,receive,ID_A,Pub_S
S,receive,ID_B,Pub_S
S,receive,N_A,Pub_S
S,receive,N_A^',Pub_S
S,receive,N_S,K_AS Pub_S
S,receive,ID_B,Pub_S
S,receive,ID_A,Pub_S
S,receive,N_B,Pub_S
S,receive,N_B^',Pub_S
S,receive,N_S,K_BS Pub_S
S,decrypt,ID_A,Pri_S
S,decrypt,ID_B,Pri_S
S,decrypt,N_A,Pri_S
S,decrypt,N_A^',Pri_S
S,decrypt,N_S,K_AS
S,decrypt,N_S,Pri_S
S,decrypt,ID_B,Pri_S
S,decrypt,ID_A,Pri_S
S,decrypt,N_B,Pri_S
S,decrypt,N_B^',Pri_S
S,decrypt,N_S,K_BS
S,decrypt,N_S,Pri_S
S,encrypt,N_B,K_BS
S,encrypt,K_AB,K_BS
S,encrypt,N_A^',K_BS
S,encrypt,N_A,K_AS
S,encrypt,K_AB,K_AS
S,encrypt,N_B^',K_AS
S,send,N_B,K_BS
S,send,K_AB,K_BS
S,send,N_A^',K_BS
S,send,N_A,K_AS
S,send,K_AB,K_AS
S,send,N_B^',K_AS
B,receive,N_B,K_BS
B,receive,K_AB,K_BS
B,receive,N_A^',K_BS
B,receive,N_A,K_AS
B,receive,K_AB,K_AS
B,receive,N_B^',K_AS
B,decrypt,N_B,K_BS
B,decrypt,K_AB,K_BS
B,decrypt,N_A^',K_BS
B,encrypt,N_A,K_AS
B,encrypt,K_AB,K_AS
B,encrypt,N_B^',K_AS
B,encrypt,N_A^'+1,K_AB
B,send,N_A,K_AS
B,send,K_AB,K_AS
B,send,N_B^',K_AS
B,send,N_A^'+1,K_AB
A,receive,N_A,K_AS
A,receive,K_AB,K_AS
A,receive,N_B^',K_AS
A,receive,N_A^'+1,K_AB
A,decrypt,N_A,K_AS
A,decrypt,K_AB,K_AS
A,decrypt,N_B^',K_AS
A,decrypt,N_A^'+1,K_AB
A,encrypt,N_B^'+1,K_AB
A,send,N_B^'+1,K_AB
B,receive,N_B^'+1,K_AB
B,decrypt,N_B^'+1,K_AB
