,pp,ap,mp,kp
0,A,encrypt,ID_A,K_AS
1,A,encrypt,ID_S,K_AS
2,A,encrypt,ID_A,K_AS
3,A,encrypt,a^x,K_AS
4,A,encrypt,ID_B,K_AS
5,A,send,ID_A,
6,A,send,ID_B,
7,A,send,ID_A,K_AS
8,A,send,ID_S,K_AS
9,A,send,ID_A,K_AS
10,A,send,a^x,K_AS
11,A,send,ID_B,K_AS
12,S,receive,ID_A,
13,S,receive,ID_B,
14,S,receive,ID_A,K_AS
15,S,receive,ID_S,K_AS
16,S,receive,ID_A,K_AS
17,S,receive,a^x,K_AS
18,S,receive,ID_B,K_AS
19,S,decrypt,ID_A,K_AS
20,S,decrypt,ID_S,K_AS
21,S,decrypt,ID_A,K_AS
22,S,decrypt,a^x,K_AS
23,S,decrypt,ID_B,K_AS
24,S,encrypt,ID_S,K_AS
25,S,encrypt,ID_A,K_AS
26,S,encrypt,ID_A,K_AS
27,S,encrypt,a^x,K_AS
28,S,encrypt,ID_B,K_AS
29,S,send,ID_A,
30,S,send,ID_B,
31,S,send,ID_S,K_AS
32,S,send,ID_A,K_AS K_AS
33,S,send,a^x,K_AS
34,S,send,ID_B,K_AS
35,B,receive,ID_A,
36,B,receive,ID_B,
37,B,receive,ID_S,K_AS
38,B,receive,ID_A,K_AS K_AS
39,B,receive,a^x,K_AS
40,B,receive,ID_B,K_AS
41,B,encrypt,ID_B,K_BS
42,B,encrypt,ID_S,K_BS
43,B,encrypt,ID_B,K_BS
44,B,encrypt,a^y,K_BS
45,B,encrypt,ID_A,K_BS
46,B,encrypt,ID_B,K_AB
47,B,encrypt,ID_A,K_AB
48,B,send,ID_B,K_BS
49,B,send,ID_S,K_BS
50,B,send,ID_B,K_BS
51,B,send,a^y,K_BS
52,B,send,ID_A,K_BS
53,B,send,ID_B,K_AB
54,B,send,ID_A,K_AB
55,S,receive,ID_B,K_BS
56,S,receive,ID_S,K_BS
57,S,receive,ID_B,K_BS
58,S,receive,a^y,K_BS
59,S,receive,ID_A,K_BS
60,S,receive,ID_B,K_AB
61,S,receive,ID_A,K_AB
62,S,decrypt,ID_B,K_BS
63,S,decrypt,ID_S,K_BS
64,S,decrypt,ID_B,K_BS
65,S,decrypt,a^y,K_BS
66,S,decrypt,ID_A,K_BS
67,S,encrypt,ID_S,K_BS
68,S,encrypt,ID_B,K_BS
69,S,encrypt,ID_B,K_BS
70,S,encrypt,a^y,K_BS
71,S,encrypt,ID_A,K_BS
72,S,encrypt,ID_B,K_AB
73,S,encrypt,ID_A,K_AB
74,S,send,ID_S,K_BS
75,S,send,ID_B,K_BS K_BS
76,S,send,a^y,K_BS
77,S,send,ID_A,K_BS
78,S,send,ID_B,K_AB
79,S,send,ID_A,K_AB
80,A,receive,ID_S,K_BS
81,A,receive,ID_B,K_BS K_BS
82,A,receive,a^y,K_BS
83,A,receive,ID_A,K_BS
84,A,receive,ID_B,K_AB
85,A,receive,ID_A,K_AB
86,A,decrypt,ID_B,K_AB
87,A,decrypt,ID_A,K_AB
88,A,encrypt,ID_A,K_AB
89,A,encrypt,ID_B,K_AB
90,A,send,ID_A,K_AB
91,A,send,ID_B,K_AB
92,B,receive,ID_A,K_AB
93,B,receive,ID_B,K_AB
94,B,decrypt,ID_A,K_AB
95,B,decrypt,ID_B,K_AB
