pp,ap,mp,kp
A,new,N_A, 
A,encrypt,N_A,K_AB
A,send,ID_A, 
A,send,N_A,K_AB
B,receive,ID_A, 
B,receive,N_A,K_AB
B,decrypt,N_A,K_AB
B,encrypt,N_A+1,K_AB
B,new,N_B, 
B,encrypt,N_B,K_AB
B,send,N_A+1,K_AB
B,send,N_B,K_AB
A,receive,N_A+1,K_AB
A,receive,N_B,K_AB
A,decrypt,N_A+1,K_AB
A,decrypt,N_B,K_AB
A,encrypt,N_B+1,K_AB
A,new,N_A^', 
A,encrypt,N_A^',K_AB
A,send,N_B+1,K_AB
A,send,N_A^',K_AB
B,receive,N_B+1,K_AB
B,receive,N_A^',K_AB
B,decrypt,N_B+1,K_AB
B,decrypt,N_A^',K_AB
B,encrypt,K_AB^',K_AB
B,new,N_B^', 
B,encrypt,N_B^',K_AB
B,encrypt,N_A^',K_AB^'
B,encrypt,N_B^',K_AB^'
B,send,K_AB^',K_AB
B,send,N_B^',K_AB
B,send,N_A^',K_AB^'
B,send,N_B^',K_AB^'
A,receive,K_AB^',K_AB
A,receive,N_B^',K_AB
A,receive,N_A^',K_AB^'
A,receive,N_B^',K_AB^'
A,decrypt,K_AB^',K_AB
A,decrypt,N_B^',K_AB
A,decrypt,N_A^',K_AB^'
A,decrypt,N_B^',K_AB^'
A,encrypt,N_B^',K_AB^'
A,send,N_B^',K_AB^'
B,receive,N_B^',K_AB^'
B,decrypt,N_B^',K_AB^'
