pp,ap,mp,kp
A,new,N_A, 
A,encrypt,N_A,K_AB
A,encrypt,ID_A,K_AB
A,encrypt,ID_B,K_AB
A,send,N_A,K_AB
A,send,ID_A,K_AB
A,send,ID_B,K_AB
B,receive,N_A,K_AB
B,receive,ID_A,K_AB
B,receive,ID_B,K_AB
B,decrypt,N_A,K_AB
B,decrypt,ID_A,K_AB
B,decrypt,ID_B,K_AB
B,encrypt,N_A,K_AB
B,new,N_B, 
B,encrypt,N_B,K_AB
B,encrypt,ID_A,K_AB
B,encrypt,ID_B,K_AB
B,send,N_A,K_AB
B,send,N_B,K_AB
B,send,ID_A,K_AB
B,send,ID_B,K_AB
A,receive,N_A,K_AB
A,receive,N_B,K_AB
A,receive,ID_A,K_AB
A,receive,ID_B,K_AB
A,decrypt,N_A,K_AB
A,decrypt,N_B,K_AB
A,decrypt,ID_A,K_AB
A,decrypt,ID_B,K_AB
A,encrypt,ID_A,K_AS
A,encrypt,ID_S,K_AS
A,new,N_A^', 
A,encrypt,N_A^',K_AS
A,encrypt,N_B,K_AS
A,send,ID_A,K_AS
A,send,ID_S,K_AS
A,send,N_A^',K_AS
A,send,N_B,K_AS
S,receive,ID_A,K_AS
S,receive,ID_S,K_AS
S,receive,N_A^',K_AS
S,receive,N_B,K_AS
S,decrypt,ID_A,K_AS
S,decrypt,ID_S,K_AS
S,decrypt,N_A^',K_AS
S,decrypt,N_B,K_AS
S,new,N_S, 
S,encrypt,N_S,K_AS
S,encrypt,ID_A,K_AS
S,encrypt,ID_S,K_AS
S,encrypt,N_A^',K_AS
S,encrypt,N_B,K_AS
S,send,N_S,K_AS
S,send,ID_A,K_AS
S,send,ID_S,K_AS
S,send,N_A^',K_AS
S,send,N_B,K_AS
A,receive,N_S,K_AS
A,receive,ID_A,K_AS
A,receive,ID_S,K_AS
A,receive,N_A^',K_AS
A,receive,N_B,K_AS
A,decrypt,N_S,K_AS
A,decrypt,ID_A,K_AS
A,decrypt,ID_S,K_AS
A,decrypt,N_A^',K_AS
A,decrypt,N_B,K_AS
A,encrypt,N_B,K_AB
A,encrypt,N_S,K_AB
A,encrypt,ID_A,K_AB
A,encrypt,ID_B,K_AB
A,send,N_B,K_AB
A,send,N_S,K_AB
A,send,ID_A,K_AB
A,send,ID_B,K_AB
B,receive,N_B,K_AB
B,receive,N_S,K_AB
B,receive,ID_A,K_AB
B,receive,ID_B,K_AB
B,decrypt,N_B,K_AB
B,decrypt,N_S,K_AB
B,decrypt,ID_A,K_AB
B,decrypt,ID_B,K_AB
