,pp,ap,mp,kp
0,A,send,ID_A,
1,A,send,ID_B,
2,S,receive,ID_A,
3,S,receive,ID_B,
4,S,encrypt,ID_S,K_AS
5,S,encrypt,ID_A,K_AS
6,S,encrypt,ID_A,K_AS
7,S,encrypt,K_AB,K_AS
8,S,encrypt,ID_B,K_AS
9,S,encrypt,ID_S,K_BS
10,S,encrypt,ID_A,K_BS
11,S,encrypt,ID_A,K_BS
12,S,encrypt,K_AB,K_BS
13,S,encrypt,ID_B,K_BS
14,S,send,ID_S,K_AS
15,S,send,ID_A,K_AS
16,S,send,ID_A,K_AS
17,S,send,K_AB,K_AS
18,S,send,ID_B,K_AS
19,S,send,ID_S,K_BS
20,S,send,ID_A,K_BS K_BS
21,S,send,K_AB,K_BS
22,S,send,ID_B,K_BS
23,A,receive,ID_S,K_AS
24,A,receive,ID_A,K_AS
25,A,receive,ID_A,K_AS
26,A,receive,K_AB,K_AS
27,A,receive,ID_B,K_AS
28,A,receive,ID_S,K_BS
29,A,receive,ID_A,K_BS K_BS
30,A,receive,K_AB,K_BS
31,A,receive,ID_B,K_BS
32,A,decrypt,ID_S,K_AS
33,A,decrypt,ID_A,K_AS
34,A,decrypt,ID_A,K_AS
35,A,decrypt,K_AB,K_AS
36,A,decrypt,ID_B,K_AS
37,A,encrypt,ID_S,K_BS
38,A,encrypt,ID_A,K_BS
39,A,encrypt,ID_A,K_BS
40,A,encrypt,K_AB,K_BS
41,A,encrypt,ID_B,K_BS
42,A,encrypt,ID_A,K_AB
43,A,encrypt,ID_B,K_AB
44,A,send,ID_S,K_BS
45,A,send,ID_A,K_BS K_BS
46,A,send,K_AB,K_BS
47,A,send,ID_B,K_BS
48,A,send,ID_A,K_AB
49,A,send,ID_B,K_AB
50,B,receive,ID_S,K_BS
51,B,receive,ID_A,K_BS K_BS
52,B,receive,K_AB,K_BS
53,B,receive,ID_B,K_BS
54,B,receive,ID_A,K_AB
55,B,receive,ID_B,K_AB
56,B,decrypt,ID_S,K_BS
57,B,decrypt,ID_A,K_BS
58,B,decrypt,ID_A,K_BS
59,B,decrypt,K_AB,K_BS
60,B,decrypt,ID_B,K_BS
61,B,decrypt,ID_A,K_AB
62,B,decrypt,ID_B,K_AB
63,B,encrypt,ID_B,K_AB
64,B,encrypt,ID_A,K_AB
65,B,send,ID_B,K_AB
66,B,send,ID_A,K_AB
67,A,receive,ID_B,K_AB
68,A,receive,ID_A,K_AB
69,A,decrypt,ID_B,K_AB
70,A,decrypt,ID_A,K_AB
