,pp,ap,mp,kp
0,A,send,ID_A,
1,B,receive,ID_A,
2,B,send,ID_B,
3,B,send,E_(K_BS)ID_A,
4,S,receive,ID_B,
5,S,receive,E_(K_BS)ID_A,
6,S,send,ID_S,
7,S,send,ID_B,
8,S,send,E_(K_AS)ID_B,
9,A,receive,ID_S,
10,A,receive,ID_B,
11,A,receive,E_(K_AS)ID_B,
12,A,encrypt,K_AB,K_AS
13,A,encrypt,ID_B,K_AS
14,A,send,ID_A,
15,A,send,K_AB,K_AS
16,A,send,ID_B,K_AS
17,S,receive,ID_A,
18,S,receive,K_AB,K_AS
19,S,receive,ID_B,K_AS
20,S,decrypt,K_AB,K_AS
21,S,decrypt,ID_B,K_AS
22,S,encrypt,K_AB,K_BS
23,S,encrypt,ID_A,K_BS
24,S,send,ID_S,
25,S,send,K_AB,K_BS
26,S,send,ID_A,K_BS
27,B,receive,ID_S,
28,B,receive,K_AB,K_BS
29,B,receive,ID_A,K_BS
30,B,decrypt,K_AB,K_BS
31,B,decrypt,ID_A,K_BS
