,pp,ap,mp,kp
0,A,send,ID_A,
1,B,receive,ID_A,
2,B,send,ID_A,
3,B,send,ID_B,
4,S,receive,ID_A,
5,S,receive,ID_B,
6,S,encrypt,K_AB,K_BS
7,S,encrypt,ID_A,K_BS
8,S,encrypt,K_AB,K_AS
9,S,encrypt,ID_B,K_AS
10,S,send,K_AB,K_BS
11,S,send,ID_A,K_BS
12,S,send,K_AB,K_AS
13,S,send,ID_B,K_AS
14,B,receive,K_AB,K_BS
15,B,receive,ID_A,K_BS
16,B,receive,K_AB,K_AS
17,B,receive,ID_B,K_AS
18,B,decrypt,K_AB,K_BS
19,B,decrypt,ID_A,K_BS
20,B,encrypt,K_AB,K_AS
21,B,encrypt,ID_B,K_AS
22,B,send,K_AB,K_AS
23,B,send,ID_B,K_AS
24,B,send,E_(K_AB)ID_A,
25,A,receive,K_AB,K_AS
26,A,receive,ID_B,K_AS
27,A,receive,E_(K_AB)ID_A,
28,A,decrypt,K_AB,K_AS
29,A,decrypt,ID_B,K_AS
