,pp,ap,mp,kp
0,A,send,ID_A,
1,A,send,a^x,
2,B,receive,ID_A,
3,B,receive,a^x,
4,B,sign,a^y,Pri_B
5,B,encrypt,a^y,K_AB
6,B,sign,a^x,Pri_B
7,B,encrypt,a^x,K_AB
8,B,sign,ID_B,Pri_B
9,B,encrypt,ID_B,K_AB
10,B,sign,ID_A,Pri_B
11,B,encrypt,ID_A,K_AB
12,B,hash,a^y,hK_AB
13,B,hash,a^x,hK_AB
14,B,send,Cert_B,
15,B,send,a^y,
16,B,send,a^y,Pri_B K_AB
17,B,send,a^x,Pri_B K_AB
18,B,send,ID_B,Pri_B K_AB
19,B,send,ID_A,Pri_B K_AB
20,B,send,a^y,hK_AB
21,B,send,a^x,hK_AB
22,A,receive,Cert_B,
23,A,receive,a^y,
24,A,receive,a^y,Pri_B K_AB
25,A,receive,a^x,Pri_B K_AB
26,A,receive,ID_B,Pri_B K_AB
27,A,receive,ID_A,Pri_B K_AB
28,A,receive,a^y,hK_AB
29,A,receive,a^x,hK_AB
30,A,verify,a^y,Pub_B
31,A,decrypt,a^y,K_AB
32,A,verify,a^x,Pub_B
33,A,decrypt,a^x,K_AB
34,A,verify,ID_B,Pub_B
35,A,decrypt,ID_B,K_AB
36,A,verify,ID_A,Pub_B
37,A,decrypt,ID_A,K_AB
38,A,decrypt,a^y,hK_AB
39,A,decrypt,a^x,hK_AB
40,A,sign,a^x,Pri_A
41,A,encrypt,a^x,K_AB
42,A,sign,a^y,Pri_A
43,A,encrypt,a^y,K_AB
44,A,sign,ID_A,Pri_A
45,A,encrypt,ID_A,K_AB
46,A,sign,ID_B,Pri_A
47,A,encrypt,ID_B,K_AB
48,A,hash,a^x,hK_AB
49,A,hash,a^y,hK_AB
50,A,send,Cert_A,
51,A,send,a^x,Pri_A K_AB
52,A,send,a^y,Pri_A K_AB
53,A,send,ID_A,Pri_A K_AB
54,A,send,ID_B,Pri_A K_AB
55,A,send,a^x,hK_AB
56,A,send,a^y,hK_AB
57,B,receive,Cert_A,
58,B,receive,a^x,Pri_A K_AB
59,B,receive,a^y,Pri_A K_AB
60,B,receive,ID_A,Pri_A K_AB
61,B,receive,ID_B,Pri_A K_AB
62,B,receive,a^x,hK_AB
63,B,receive,a^y,hK_AB
64,B,verify,a^x,Pub_A
65,B,decrypt,a^x,K_AB
66,B,verify,a^y,Pub_A
67,B,decrypt,a^y,K_AB
68,B,verify,ID_A,Pub_A
69,B,decrypt,ID_A,K_AB
70,B,verify,ID_B,Pub_A
71,B,decrypt,ID_B,K_AB
72,B,decrypt,a^x,hK_AB
73,B,decrypt,a^y,hK_AB
