,pp,ap,mp,kp
0,A,sign,ID_B,Pri_A
1,A,encrypt,a^x,Pub_B
2,A,sign,a^x,Pri_A
3,A,send,ID_A,
4,A,send,ID_B,Pri_A
5,A,send,a^x,Pub_B Pri_A
6,B,receive,ID_A,
7,B,receive,ID_B,Pri_A
8,B,receive,a^x,Pub_B Pri_A
9,B,verify,ID_B,Pub_A
10,B,decrypt,a^x,Pri_B
11,B,verify,a^x,Pub_A
12,B,sign,ID_A,Pri_B
13,B,encrypt,a^y,Pub_A
14,B,sign,a^y,Pri_B
15,B,send,ID_B,
16,B,send,ID_A,Pri_B
17,B,send,a^y,Pub_A Pri_B
18,A,receive,ID_B,
19,A,receive,ID_A,Pri_B
20,A,receive,a^y,Pub_A Pri_B
21,A,verify,ID_A,Pub_B
22,A,decrypt,a^y,Pri_A
23,A,verify,a^y,Pub_B
24,A,send,Sig_(Pri_A)ID_B,
25,B,receive,Sig_(Pri_A)ID_B,
