,pp,ap,mp,kp
0,A,new,T_A,
1,A,sign,ID_B,Pri_A
2,A,sign,T_A,Pri_A
3,A,hash,ID_B,hK_AB
4,A,hash,T_A,hK_AB
5,A,hash,ID_A,hK_AB
6,A,send,T_A,
7,A,send,ID_B,Pri_A
8,A,send,T_A,Pri_A
9,A,send,ID_B,hK_AB
10,A,send,T_A,hK_AB
11,A,send,ID_A,hK_AB
12,B,receive,T_A,
13,B,receive,ID_B,Pri_A
14,B,receive,T_A,Pri_A
15,B,receive,ID_B,hK_AB
16,B,receive,T_A,hK_AB
17,B,receive,ID_A,hK_AB
18,B,verify,ID_B,Pub_A
19,B,verify,T_A,Pub_A
20,B,decrypt,ID_B,hK_AB
21,B,decrypt,T_A,hK_AB
22,B,decrypt,ID_A,hK_AB
23,B,new,T_B,
24,B,sign,ID_A,Pri_B
25,B,sign,T_B,Pri_B
26,B,hash,ID_A,hK_AB
27,B,hash,T_B,hK_AB
28,B,hash,ID_B,hK_AB
29,B,send,T_B,
30,B,send,ID_A,Pri_B
31,B,send,T_B,Pri_B
32,B,send,ID_A,hK_AB
33,B,send,T_B,hK_AB
34,B,send,ID_B,hK_AB
35,A,receive,T_B,
36,A,receive,ID_A,Pri_B
37,A,receive,T_B,Pri_B
38,A,receive,ID_A,hK_AB
39,A,receive,T_B,hK_AB
40,A,receive,ID_B,hK_AB
41,A,verify,ID_A,Pub_B
42,A,verify,T_B,Pub_B
43,A,decrypt,ID_A,hK_AB
44,A,decrypt,T_B,hK_AB
45,A,decrypt,ID_B,hK_AB
