,pp,ap,mp,kp
0,A,new,N_A,
1,A,new,N_A^',
2,A,send,ID_A,
3,A,send,ID_B,
4,A,send,N_A,
5,A,send,N_A^',
6,B,receive,ID_A,
7,B,receive,ID_B,
8,B,receive,N_A,
9,B,receive,N_A^',
10,B,encrypt,ID_B,K_BS
11,B,encrypt,ID_S,K_BS
12,B,encrypt,ID_A,K_BS
13,B,encrypt,K_AB,K_BS
14,B,encrypt,ID_B,K_BS
15,B,encrypt,N_A,K_BS
16,B,new,N_B,
17,B,send,ID_B,K_BS
18,B,send,ID_S,K_BS
19,B,send,ID_A,K_BS
20,B,send,K_AB,K_BS
21,B,send,ID_B,K_BS
22,B,send,N_A,K_BS
23,B,send,N_B,
24,S,receive,ID_B,K_BS
25,S,receive,ID_S,K_BS
26,S,receive,ID_A,K_BS
27,S,receive,K_AB,K_BS
28,S,receive,ID_B,K_BS
29,S,receive,N_A,K_BS
30,S,receive,N_B,
31,S,decrypt,ID_B,K_BS
32,S,decrypt,ID_S,K_BS
33,S,decrypt,ID_A,K_BS
34,S,decrypt,K_AB,K_BS
35,S,decrypt,ID_B,K_BS
36,S,decrypt,N_A,K_BS
37,S,encrypt,ID_S,K_AS
38,S,encrypt,ID_A,K_AS
39,S,encrypt,ID_A,K_AS
40,S,encrypt,K_AB,K_AS
41,S,encrypt,ID_B,K_AS
42,S,encrypt,N_A,K_AS
43,S,send,ID_S,K_AS
44,S,send,ID_A,K_AS
45,S,send,ID_A,K_AS
46,S,send,K_AB,K_AS
47,S,send,ID_B,K_AS
48,S,send,N_A,K_AS
49,A,receive,ID_S,K_AS
50,A,receive,ID_A,K_AS
51,A,receive,ID_A,K_AS
52,A,receive,K_AB,K_AS
53,A,receive,ID_B,K_AS
54,A,receive,N_A,K_AS
55,A,decrypt,ID_S,K_AS
56,A,decrypt,ID_A,K_AS
57,A,decrypt,ID_A,K_AS
58,A,decrypt,K_AB,K_AS
59,A,decrypt,ID_B,K_AS
60,A,decrypt,N_A,K_AS
