,pp,ap,mp,kp
0,A,encrypt,ID_A,Password_A
1,A,encrypt,ID_B,Password_A
2,A,send,ID_A,Password_A
3,A,send,ID_B,Password_A
4,B,receive,ID_A,Password_A
5,B,receive,ID_B,Password_A
6,B,encrypt,ID_B,Password_B
7,B,encrypt,ID_A,Password_B
8,B,encrypt,,Password_B
9,B,send,ID_A,Password_A
10,B,send,ID_B,Password_A
11,B,send,ID_B,Password_B
12,B,send,ID_A,Password_B
13,B,send,,Password_B
14,S,receive,ID_A,Password_A
15,S,receive,ID_B,Password_A
16,S,receive,ID_B,Password_B
17,S,receive,ID_A,Password_B
18,S,receive,,Password_B
19,S,send,E_(Password_A)K_AB,
20,S,send,E_(Password_B)K_AB,
21,B,receive,E_(Password_A)K_AB,
22,B,receive,E_(Password_B)K_AB,
23,B,send,E_(Password_A)K_AB,
24,A,receive,E_(Password_A)K_AB,
