,pp,ap,mp,kp
0,A,new,N_A,
1,A,sign,ID_A,Pri_A
2,A,sign,ID_B,Pri_A
3,A,sign,Password_A,Pri_A
4,A,send,ID_A,
5,A,send,N_A,
6,A,send,Password_A,
7,A,send,ID_A,Pri_A
8,A,send,ID_B,Pri_A
9,A,send,Password_A,Pri_A
10,B,receive,ID_A,
11,B,receive,N_A,
12,B,receive,Password_A,
13,B,receive,ID_A,Pri_A
14,B,receive,ID_B,Pri_A
15,B,receive,Password_A,Pri_A
16,B,verify,ID_A,Pub_A
17,B,verify,ID_B,Pub_A
18,B,verify,Password_A,Pub_A
19,B,new,N_B,
20,B,sign,ID_B,Pri_B
21,B,sign,ID_A,Pri_B
22,B,sign,Password_B,Pri_B
23,B,send,ID_B,
24,B,send,N_B,
25,B,send,Password_B,
26,B,send,ID_B,Pri_B
27,B,send,ID_A,Pri_B
28,B,send,Password_B,Pri_B
29,A,receive,ID_B,
30,A,receive,N_B,
31,A,receive,Password_B,
32,A,receive,ID_B,Pri_B
33,A,receive,ID_A,Pri_B
34,A,receive,Password_B,Pri_B
35,A,verify,ID_B,Pub_B
36,A,verify,ID_A,Pub_B
37,A,verify,Password_B,Pub_B
38,A,hash,N_B,
39,A,hash,Password_B,
40,A,send,N_B,
41,A,send,Password_B,
42,B,receive,N_B,
43,B,receive,Password_B,
44,B,hash,N_A,
45,B,hash,Password_A,
46,B,send,N_A,
47,B,send,Password_A,
48,A,receive,N_A,
49,A,receive,Password_A,
