,pp,ap,mp,kp
0,B,new,N_B,
1,B,new,T_B,
2,B,new,N_B^',
3,B,send,ID_B,Pub_S
4,B,send,ID_A,Pub_S
5,B,send,N_B,Pub_S
6,B,send,T_B,Pub_S
7,B,send,N_B^',
8,A,receive,ID_B,Pub_S
9,A,receive,ID_A,Pub_S
10,A,receive,N_B,Pub_S
11,A,receive,T_B,Pub_S
12,A,receive,N_B^',
13,A,encrypt,ID_B,Pub_S
14,A,encrypt,ID_A,Pub_S
15,A,encrypt,N_B,Pub_S
16,A,encrypt,T_B,Pub_S
17,A,encrypt,ID_A,Pub_S
18,A,encrypt,ID_B,Pub_S
19,A,new,N_A,
20,A,encrypt,N_A,Pub_S
21,A,new,T_A,
22,A,encrypt,T_A,Pub_S
23,A,new,N_A^',
24,A,send,ID_B,Pub_S
25,A,send,ID_A,Pub_S
26,A,send,N_B,Pub_S
27,A,send,T_B,Pub_S
28,A,send,ID_A,Pub_S
29,A,send,ID_B,Pub_S
30,A,send,N_A,Pub_S
31,A,send,T_A,Pub_S
32,A,send,N_A^',
33,S,receive,ID_B,Pub_S
34,S,receive,ID_A,Pub_S
35,S,receive,N_B,Pub_S
36,S,receive,T_B,Pub_S
37,S,receive,ID_A,Pub_S
38,S,receive,ID_B,Pub_S
39,S,receive,N_A,Pub_S
40,S,receive,T_A,Pub_S
41,S,receive,N_A^',
42,S,decrypt,ID_B,Pri_S
43,S,decrypt,ID_A,Pri_S
44,S,decrypt,N_B,Pri_S
45,S,decrypt,T_B,Pri_S
46,S,decrypt,ID_A,Pri_S
47,S,decrypt,ID_B,Pri_S
48,S,decrypt,N_A,Pri_S
49,S,decrypt,T_A,Pri_S
50,S,encrypt,ID_B,K_AS
51,S,encrypt,N_B,K_AS
52,S,encrypt,K_AB,K_AS
53,S,encrypt,ID_A,K_BS
54,S,encrypt,N_A,K_BS
55,S,encrypt,K_AB,K_BS
56,S,send,ID_B,K_AS
57,S,send,N_B,K_AS
58,S,send,K_AB,K_AS
59,S,send,ID_A,K_BS
60,S,send,N_A,K_BS
61,S,send,K_AB,K_BS
62,A,receive,ID_B,K_AS
63,A,receive,N_B,K_AS
64,A,receive,K_AB,K_AS
65,A,receive,ID_A,K_BS
66,A,receive,N_A,K_BS
67,A,receive,K_AB,K_BS
68,A,decrypt,ID_B,K_AS
69,A,decrypt,N_B,K_AS
70,A,decrypt,K_AB,K_AS
71,A,encrypt,ID_A,K_BS
72,A,encrypt,N_A,K_BS
73,A,encrypt,K_AB,K_BS
74,A,send,ID_A,K_BS
75,A,send,N_A,K_BS
76,A,send,K_AB,K_BS
77,B,receive,ID_A,K_BS
78,B,receive,N_A,K_BS
79,B,receive,K_AB,K_BS
80,B,decrypt,ID_A,K_BS
81,B,decrypt,N_A,K_BS
82,B,decrypt,K_AB,K_BS
