,pp,ap,mp,kp
0,A,hash,ID_A,
1,A,hash,ID_B,
2,A,hash,Password_A,
3,A,new,N_A,
4,A,send,ID_A,
5,A,send,a^x,
6,A,send,ID_A,
7,A,send,ID_B,
8,A,send,Password_A,
9,A,send,N_A,
10,B,receive,ID_A,
11,B,receive,a^x,
12,B,receive,ID_A,
13,B,receive,ID_B,
14,B,receive,Password_A,
15,B,receive,N_A,
16,B,hash,K_AB,
17,B,hash,a^x,
18,B,hash,ID_A,
19,B,hash,ID_B,
20,B,hash,Password_A,
21,B,send,a^y,
22,B,send,K_AB,
23,B,send,a^x,
24,B,send,ID_A,
25,B,send,ID_B,
26,B,send,Password_A,
27,A,receive,a^y,
28,A,receive,K_AB,
29,A,receive,a^x,
30,A,receive,ID_A,
31,A,receive,ID_B,
32,A,receive,Password_A,
33,A,hash,K_AB,
34,A,hash,a^y,
35,A,send,K_AB,
36,A,send,a^y,
37,B,receive,K_AB,
38,B,receive,a^y,
