,pp,ap,mp,kp
0,A,send,ID_A,
1,A,send,ID_B,
2,S,receive,ID_A,
3,S,receive,ID_B,
4,S,encrypt,ID_S,K_AS
5,S,encrypt,ID_A,K_AS
6,S,encrypt,ID_B,K_AS
7,S,encrypt,K_(Pub_B),K_AS
8,S,send,ID_S,
9,S,send,ID_S,K_AS
10,S,send,ID_A,K_AS
11,S,send,ID_B,K_AS
12,S,send,K_(Pub_B),K_AS
13,A,receive,ID_S,
14,A,receive,ID_S,K_AS
15,A,receive,ID_A,K_AS
16,A,receive,ID_B,K_AS
17,A,receive,K_(Pub_B),K_AS
18,A,decrypt,ID_S,K_AS
19,A,decrypt,ID_A,K_AS
20,A,decrypt,ID_B,K_AS
21,A,decrypt,K_(Pub_B),K_AS
22,A,sign,ID_A,Pri_A
23,A,sign,E_(Pub_B)ID_A,Pri_A
24,A,send,ID_A,
25,A,send,ID_B,
26,A,send,ID_A,Pri_A
27,A,send,E_(Pub_B)ID_A,Pri_A
28,B,receive,ID_A,
29,B,receive,ID_B,
30,B,receive,ID_A,Pri_A
31,B,receive,E_(Pub_B)ID_A,Pri_A
32,B,verify,ID_A,Pub_A
33,B,verify,E_(Pub_B)ID_A,Pub_A
34,B,send,ID_B,
35,B,send,ID_A,
36,S,receive,ID_B,
37,S,receive,ID_A,
38,S,encrypt,ID_S,K_BS
39,S,encrypt,ID_B,K_BS
40,S,encrypt,ID_A,K_BS
41,S,encrypt,K_(Pub_A),K_BS
42,S,send,ID_S,
43,S,send,ID_S,K_BS
44,S,send,ID_B,K_BS
45,S,send,ID_A,K_BS
46,S,send,K_(Pub_A),K_BS
47,B,receive,ID_S,
48,B,receive,ID_S,K_BS
49,B,receive,ID_B,K_BS
50,B,receive,ID_A,K_BS
51,B,receive,K_(Pub_A),K_BS
52,B,decrypt,ID_S,K_BS
53,B,decrypt,ID_B,K_BS
54,B,decrypt,ID_A,K_BS
55,B,decrypt,K_(Pub_A),K_BS
56,B,send,ID_B,
57,B,send,ID_A,
58,B,send,E_(Pub_A)ID_B,
59,A,receive,ID_B,
60,A,receive,ID_A,
61,A,receive,E_(Pub_A)ID_B,
