,pp,ap,mp,kp
0,A,new,N_A,
1,A,send,ID_A,
2,A,send,N_A,
3,A,send,a^x,
4,B,receive,ID_A,
5,B,receive,N_A,
6,B,receive,a^x,
7,B,new,N_B,
8,B,sign,N_B,Pri_B
9,B,sign,a^y,Pri_B
10,B,sign,N_A+1,Pri_B
11,B,sign,a^x,Pri_B
12,B,sign,ID_B,Pri_B
13,B,sign,ID_A,Pri_B
14,B,hash,N_B,hK_AB
15,B,hash,a^y,hK_AB
16,B,hash,N_A+1,hK_AB
17,B,hash,a^x,hK_AB
18,B,hash,ID_B,hK_AB
19,B,hash,ID_A,hK_AB
20,B,send,Cert_B,
21,B,send,N_B,
22,B,send,a^y,
23,B,send,N_B,Pri_B
24,B,send,a^y,Pri_B
25,B,send,N_A+1,Pri_B
26,B,send,a^x,Pri_B
27,B,send,ID_B,Pri_B
28,B,send,ID_A,Pri_B
29,B,send,N_B,hK_AB
30,B,send,a^y,hK_AB
31,B,send,N_A+1,hK_AB
32,B,send,a^x,hK_AB
33,B,send,ID_B,hK_AB
34,B,send,ID_A,hK_AB
35,A,receive,Cert_B,
36,A,receive,N_B,
37,A,receive,a^y,
38,A,receive,N_B,Pri_B
39,A,receive,a^y,Pri_B
40,A,receive,N_A+1,Pri_B
41,A,receive,a^x,Pri_B
42,A,receive,ID_B,Pri_B
43,A,receive,ID_A,Pri_B
44,A,receive,N_B,hK_AB
45,A,receive,a^y,hK_AB
46,A,receive,N_A+1,hK_AB
47,A,receive,a^x,hK_AB
48,A,receive,ID_B,hK_AB
49,A,receive,ID_A,hK_AB
50,A,verify,N_B,Pub_B
51,A,verify,a^y,Pub_B
52,A,verify,N_A+1,Pub_B
53,A,verify,a^x,Pub_B
54,A,verify,ID_B,Pub_B
55,A,verify,ID_A,Pub_B
56,A,decrypt,N_B,hK_AB
57,A,decrypt,a^y,hK_AB
58,A,decrypt,N_A+1,hK_AB
59,A,decrypt,a^x,hK_AB
60,A,decrypt,ID_B,hK_AB
61,A,decrypt,ID_A,hK_AB
62,A,new,N_A^',
63,A,sign,N_A^',Pri_A
64,A,sign,a^x,Pri_A
65,A,sign,N_B+1,Pri_A
66,A,sign,a^y,Pri_A
67,A,sign,ID_A,Pri_A
68,A,sign,ID_B,Pri_A
69,A,hash,N_A^',hK_AB
70,A,hash,a^x,hK_AB
71,A,hash,N_B+1,hK_AB
72,A,hash,a^y,hK_AB
73,A,hash,ID_A,hK_AB
74,A,hash,ID_B,hK_AB
75,A,send,Cert_A,
76,A,send,N_A^',Pri_A
77,A,send,a^x,Pri_A
78,A,send,N_B+1,Pri_A
79,A,send,a^y,Pri_A
80,A,send,ID_A,Pri_A
81,A,send,ID_B,Pri_A
82,A,send,N_A^',hK_AB
83,A,send,a^x,hK_AB
84,A,send,N_B+1,hK_AB
85,A,send,a^y,hK_AB
86,A,send,ID_A,hK_AB
87,A,send,ID_B,hK_AB
88,B,receive,Cert_A,
89,B,receive,N_A^',Pri_A
90,B,receive,a^x,Pri_A
91,B,receive,N_B+1,Pri_A
92,B,receive,a^y,Pri_A
93,B,receive,ID_A,Pri_A
94,B,receive,ID_B,Pri_A
95,B,receive,N_A^',hK_AB
96,B,receive,a^x,hK_AB
97,B,receive,N_B+1,hK_AB
98,B,receive,a^y,hK_AB
99,B,receive,ID_A,hK_AB
100,B,receive,ID_B,hK_AB
101,B,verify,N_A^',Pub_A
102,B,verify,a^x,Pub_A
103,B,verify,N_B+1,Pub_A
104,B,verify,a^y,Pub_A
105,B,verify,ID_A,Pub_A
106,B,verify,ID_B,Pub_A
107,B,decrypt,N_A^',hK_AB
108,B,decrypt,a^x,hK_AB
109,B,decrypt,N_B+1,hK_AB
110,B,decrypt,a^y,hK_AB
111,B,decrypt,ID_A,hK_AB
112,B,decrypt,ID_B,hK_AB
