,pp,ap,mp,kp
0,A,new,N_A,
1,A,send,N_A,
2,B,receive,N_A,
3,B,new,N_B,
4,B,send,N_B,
5,B,send,N_A,
6,B,send,ID_A,
7,S,receive,N_B,
8,S,receive,N_A,
9,S,receive,ID_A,
10,S,encrypt,K_AB,K_BS
11,S,encrypt,ID_A,K_BS
12,S,encrypt,K_AB,K_AS
13,S,encrypt,ID_B,K_AS
14,S,send,K_AB,K_BS
15,S,send,ID_A,K_BS
16,S,send,K_AB,K_AS
17,S,send,ID_B,K_AS
18,B,receive,K_AB,K_BS
19,B,receive,ID_A,K_BS
20,B,receive,K_AB,K_AS
21,B,receive,ID_B,K_AS
22,B,decrypt,K_AB,K_BS
23,B,decrypt,ID_A,K_BS
24,B,encrypt,N_A,K_AS
25,B,encrypt,K_AB,K_AS
26,B,encrypt,ID_B,K_AS
27,B,new,E_(K_AB)N_A,
28,B,send,N_A,K_AS
29,B,send,K_AB,K_AS
30,B,send,ID_B,K_AS
31,B,send,E_(K_AB)N_A,
32,A,receive,N_A,K_AS
33,A,receive,K_AB,K_AS
34,A,receive,ID_B,K_AS
35,A,receive,E_(K_AB)N_A,
36,A,decrypt,N_A,K_AS
37,A,decrypt,K_AB,K_AS
38,A,decrypt,ID_B,K_AS
39,A,send,E_(K_AB)N_A,
40,B,receive,E_(K_AB)N_A,
