pp,ap,mp,kp
B,new,N_B, 
B,send,N_B, 
B,send,ID_B, 
A,receive,N_B, 
A,receive,ID_B, 
A,new,N_A, 
A,send,N_B, 
A,send,ID_B, 
A,send,N_A, 
A,send,ID_A, 
S,receive,N_B, 
S,receive,ID_B, 
S,receive,N_A, 
S,receive,ID_A, 
S,encrypt,ID_S,K_AS
S,encrypt,ID_A,K_AS
S,encrypt,ID_A,K_AS
S,encrypt,K_AB,K_AS
S,encrypt,ID_B,K_AS
S,encrypt,N_A,K_AS
S,send,ID_S,K_AS
S,send,ID_A,K_AS
S,send,ID_A,K_AS
S,send,K_AB,K_AS
S,send,ID_B,K_AS
S,send,N_A,K_AS
A,receive,ID_S,K_AS
A,receive,ID_A,K_AS
A,receive,ID_A,K_AS
A,receive,K_AB,K_AS
A,receive,ID_B,K_AS
A,receive,N_A,K_AS
A,decrypt,ID_S,K_AS
A,decrypt,ID_A,K_AS
A,decrypt,ID_A,K_AS
A,decrypt,K_AB,K_AS
A,decrypt,ID_B,K_AS
A,decrypt,N_A,K_AS
S,encrypt,ID_S,K_BS
S,encrypt,ID_B,K_BS
S,encrypt,ID_A,K_BS
S,encrypt,K_AB,K_BS
S,encrypt,ID_B,K_BS
S,encrypt,N_B,K_BS
S,send,ID_S,K_BS
S,send,ID_B,K_BS
S,send,ID_A,K_BS
S,send,K_AB,K_BS
S,send,ID_B,K_BS
S,send,N_B,K_BS
B,receive,ID_S,K_BS
B,receive,ID_B,K_BS
B,receive,ID_A,K_BS
B,receive,K_AB,K_BS
B,receive,ID_B,K_BS
B,receive,N_B,K_BS
B,decrypt,ID_S,K_BS
B,decrypt,ID_B,K_BS
B,decrypt,ID_A,K_BS
B,decrypt,K_AB,K_BS
B,decrypt,ID_B,K_BS
B,decrypt,N_B,K_BS
A,encrypt,N_B,K_AB
A,new,N_A^', 
A,encrypt,N_A^',K_AB
A,send,N_B,K_AB
A,send,N_A^',K_AB
B,receive,N_B,K_AB
B,receive,N_A^',K_AB
B,decrypt,N_B,K_AB
B,decrypt,N_A^',K_AB
B,encrypt,N_A^'+1,K_AB
B,send,N_A^'+1,K_AB
A,receive,N_A^'+1,K_AB
A,decrypt,N_A^'+1,K_AB
