pp,ap,mp,kp
A,new,N_A, 
A,send,N_A, 
B,receive,N_A, 
B,new,N_B, 
B,send,N_B, 
B,send,K_(Pub_B ), 
A,receive,N_B, 
A,receive,K_(Pub_B ), 
A,hash,N_A, 
A,encrypt,N_A,Pub_B
A,hash,N_B, 
A,encrypt,N_B,Pub_B
A,hash,ID_B, 
A,encrypt,ID_B,Pub_B
A,encrypt,K_AB,Pub_B
A,encrypt,ID_A,K_AB
A,encrypt,Cert_A,K_AB
A,sign,ID_A,Pri_A
A,encrypt,ID_A,K_AB
A,sign,N_A,Pri_A
A,encrypt,N_A,K_AB
A,sign,N_B,Pri_A
A,encrypt,N_B,K_AB
A,send,N_A,Pub_B
A,send,N_B,Pub_B
A,send,ID_B,Pub_B
A,send,K_AB,Pub_B
A,send,ID_A,K_AB
A,send,Cert_A,K_AB
A,send,ID_A,Pri_A K_AB
A,send,N_A,Pri_A K_AB
A,send,N_B,Pri_A K_AB
B,receive,N_A,Pub_B
B,receive,N_B,Pub_B
B,receive,ID_B,Pub_B
B,receive,K_AB,Pub_B
B,receive,ID_A,K_AB
B,receive,Cert_A,K_AB
B,receive,ID_A,Pri_A K_AB
B,receive,N_A,Pri_A K_AB
B,receive,N_B,Pri_A K_AB
B,decrypt,N_A,Pri_B
B,decrypt,N_B,Pri_B
B,decrypt,ID_B,Pri_B
B,decrypt,K_AB,Pri_B
B,decrypt,ID_A,K_AB
B,decrypt,Cert_A,K_AB
B,verify,ID_A,Pub_A
B,decrypt,ID_A,K_AB
B,verify,N_A,Pub_A
B,decrypt,N_A,K_AB
B,verify,N_B,Pub_A
B,decrypt,N_B,K_AB
