pp,ap,mp,kp
A,hash,K_AB, 
A,new,T_A, 
A,hash,T_A, 
A,send,K_AB, 
A,send,T_A, 
A,send,T_A, 
B,receive,K_AB, 
B,receive,T_A, 
B,receive,T_A, 
B,hash,ID_B, 
B,hash,K_BS, 
B,hash,T_A, 
B,send,ID_B, 
B,send,K_BS, 
B,send,T_A, 
A,receive,ID_B, 
A,receive,K_BS, 
A,receive,T_A, 
A,hash,ID_B, 
A,hash,K_BS, 
A,hash,T_A, 
A,send,ID_B, 
A,send,K_BS, 
A,send,T_A, 
A,send,T_A, 
S,receive,ID_B, 
S,receive,K_BS, 
S,receive,T_A, 
S,receive,T_A, 
S,hash,ID_B, 
S,hash,ID_A, 
S,hash,K_BS, 
S,send,ID_B, 
S,send,ID_A, 
S,send,K_BS, 
A,receive,ID_B, 
A,receive,ID_A, 
A,receive,K_BS, 
A,hash,ID_B, 
A,hash,ID_A, 
A,hash,K_BS, 
A,send,ID_B, 
A,send,ID_A, 
A,send,K_BS, 
B,receive,ID_B, 
B,receive,ID_A, 
B,receive,K_BS, 
