,pp,ap,mp,kp
0,A,sign,ID_A,Pri_A
1,A,sign,ID_B,Pri_A
2,A,hash,a^x,
3,A,sign,a^x,Pri_A
4,A,new,N_A,
5,A,new,N_A^',
6,A,send,a^x,
7,A,send,ID_A,Pri_A
8,A,send,ID_B,Pri_A
9,A,send,a^x,Pri_A
10,A,send,N_A,
11,A,send,N_A^',
12,B,receive,a^x,
13,B,receive,ID_A,Pri_A
14,B,receive,ID_B,Pri_A
15,B,receive,a^x,Pri_A
16,B,receive,N_A,
17,B,receive,N_A^',
18,B,verify,ID_A,Pub_A
19,B,verify,ID_B,Pub_A
20,B,verify,a^x,Pub_A
21,B,sign,ID_B,Pri_B
22,B,sign,ID_A,Pri_B
23,B,hash,a^y,
24,B,sign,a^y,Pri_B
25,B,encrypt,ID_B,K_AB
26,B,encrypt,a^x,K_AB
27,B,encrypt,a^y,K_AB
28,B,send,a^y,
29,B,send,ID_B,Pri_B
30,B,send,ID_A,Pri_B
31,B,send,a^y,Pri_B
32,B,send,ID_B,K_AB
33,B,send,a^x,K_AB
34,B,send,a^y,K_AB
35,A,receive,a^y,
36,A,receive,ID_B,Pri_B
37,A,receive,ID_A,Pri_B
38,A,receive,a^y,Pri_B
39,A,receive,ID_B,K_AB
40,A,receive,a^x,K_AB
41,A,receive,a^y,K_AB
42,A,verify,ID_B,Pub_B
43,A,verify,ID_A,Pub_B
44,A,verify,a^y,Pub_B
45,A,decrypt,ID_B,K_AB
46,A,decrypt,a^x,K_AB
47,A,decrypt,a^y,K_AB
