,pp,ap,mp,kp
0,A,encrypt,ID_A,Password_A
1,A,encrypt,ID_B,Password_A
2,A,new,N_A,
3,A,encrypt,N_A,Password_A
4,A,encrypt,a^x,Password_A
5,A,send,ID_A,Password_A
6,A,send,ID_B,Password_A
7,A,send,N_A,Password_A
8,A,send,a^x,Password_A
9,B,receive,ID_A,Password_A
10,B,receive,ID_B,Password_A
11,B,receive,N_A,Password_A
12,B,receive,a^x,Password_A
13,B,new,N_B,
14,B,hash,ID_A,
15,B,hash,ID_B,
16,B,encrypt,N_A+1,Password_A
17,B,hash,N_A+1,
18,B,encrypt,a^x,Password_A
19,B,hash,a^x,
20,B,hash,N_B,
21,B,hash,a^y,
22,B,hash,K_AB,
23,B,hash,Password_A,
24,B,send,N_B,
25,B,send,a^y,
26,B,send,ID_A,
27,B,send,ID_B,
28,B,send,N_A+1,Password_A
29,B,send,a^x,Password_A
30,B,send,N_B,
31,B,send,a^y,
32,B,send,K_AB,
33,B,send,Password_A,
34,A,receive,N_B,
35,A,receive,a^y,
36,A,receive,ID_A,
37,A,receive,ID_B,
38,A,receive,N_A+1,Password_A
39,A,receive,a^x,Password_A
40,A,receive,N_B,
41,A,receive,a^y,
42,A,receive,K_AB,
43,A,receive,Password_A,
44,A,hash,ID_A,
45,A,hash,ID_B,
46,A,new,N_A^',
47,A,encrypt,N_A^',Password_A
48,A,hash,N_A^',
49,A,encrypt,a^x,Password_A
50,A,hash,a^x,
51,A,hash,N_B+1,
52,A,hash,a^y,
53,A,hash,K_AB,
54,A,hash,Password_A,
55,A,send,ID_A,
56,A,send,ID_B,
57,A,send,N_A^',Password_A
58,A,send,a^x,Password_A
59,A,send,N_B+1,
60,A,send,a^y,
61,A,send,K_AB,
62,A,send,Password_A,
63,B,receive,ID_A,
64,B,receive,ID_B,
65,B,receive,N_A^',Password_A
66,B,receive,a^x,Password_A
67,B,receive,N_B+1,
68,B,receive,a^y,
69,B,receive,K_AB,
70,B,receive,Password_A,
